# status,# Bibi pulled all files from your repo. No need to edit this column.,"# directions: First, read through existing descriptions and edit for accuracy. Then, fill out this column with a description of each file. Include information about what the file contains and why it's relevant to your data package workflow. Use full sentences (capital first letter and period at end). Try to avoid using commas (use semi colors or reword if possible). Spell out all abbreviations and acryonmns (e.g., ""Fourier-transform ion cyclotron resonance (FTICR)"" not ""FTICR"").",# Bibi filled out based on ESS-DIVE standards. No need to edit this column.,"# directions: Write start date in YYYY-MM-DD format. If not applicable, write ""-9999""","# directions: Write end date in YYYY-MM-DD format. If not applicable, write ""-9999""","# directions: For each file… 
If the file is NOT a csv or tsv, write “N/A”; 
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0207.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0208.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0209.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0210.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0211.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_001.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_002.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_003.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_004.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_005.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_006.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_007.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_008.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_009.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_010.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_011.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_012.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_013.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_014.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_015.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_016.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_017.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_018.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_019.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_020.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_021.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_022.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_023.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_024.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_025.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_026.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_029.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_030.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_033.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_034.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_035.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_036.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_037.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_042.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_043.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_044.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_045.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_046.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_048.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_049.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_050.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_051.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_052.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_053.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_054.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_055.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_056.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_057.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_058.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_059.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_060.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_061.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_062.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_063.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_064.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_065.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_066.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_067.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_068.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_069.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_070.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_071.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_072.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_073.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_074.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_075.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_076.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_077.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_078.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_079.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_080.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_081.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_082.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_083.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_084.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_085.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_086.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_097.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_098.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_099.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_100.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_1001.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_1002.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_1003.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_1004.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_101.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_102.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_103.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_104.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_105.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_106.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_107.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_108.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_109.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_110.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_111.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_112.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_113.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_114.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_115.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_116.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_117.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_118.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_119.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_120.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_121.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_122.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_WROL2019_123.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
